,job_id,job_title,company,location,category,sub_category,job_type,salary,description
0,74727704,Machine Learning Engineer (Artificial Intelligence),Private Advertiser,Kuala Lumpur,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 4,000 – RM 6,000 per month","Design, develop, and deploy machine learning models and algorithms for complex and unique datasets, using various techniques such as mathematical modeling, scikit-learn, NLP, CNN, RNN, DL, RL, Transformers, GAN, LLM, RAG
Collaborate with cross-functional teams to extract insights, identify business opportunities and provide data-driven recommendations
Stay up-to-date with the latest machine learning and AI techniques and tools
Communicate complex technical concepts to non-technical stakeholders in an easy-to-understand manner
Bachelor's degree or higher in Computer Science, Mathematics, Statistics, Actuarial Science, Informatics, Information Science or related fields
Strong analytical skills and attention to detail
Participation in Kaggle, Mathematics Olympiad or similar competitions is a plus
Excellent programming skills in Python, R, Java, or C++
Familiar with ML frameworks such as Tensorflow, Keras, PyTorch, MLFlow, AutoML, TensorRT, CUDA
Excellent communication and collaboration skills
Experience with designing, training, and deploying machine learning models
Customer centric and committed to deliver the best AI results to customers
What's your expected monthly basic salary?


Role descriptions


Salary insights


Tools to help you prepare for jobs

"
1,74850440,Data Scientist,PHENOMENAL UAM Sdn Bhd,Kuala Lumpur,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 5,000 – RM 7,500 per month","Utilizing machine learning techniques to analyze and interpret complex data sets.
Developing AI models and algorithms to solve specific business problems and improve operational efficiency.
Collaborating with engineers and software developers to integrate AI solutions into our products and services.
Conducting exploratory data analysis to identify trends, patterns, and insights.
Designing and implementing experiments to validate model performance and accuracy.
Communicating findings and insights to stakeholders through visualizations, presentations, and reports.
Staying abreast of the latest advancements in AI and machine learning technologies, and evaluating their potential applications within our organization.
Bachelor's degree in Computer Science, Data Science, Statistics, Mathematics, or a related field. Advanced degree (Master's or Ph.D.) preferred.
Proven experience (X years) working as a Data Scientist or AI Engineer, with a strong focus on developing and implementing machine learning algorithms and AI models.
Proficiency in programming languages such as Python, R, or Java, along with experience using libraries and frameworks such as TensorFlow, PyTorch, or scikit-learn.
Solid understanding of statistical analysis, hypothesis testing, and experimental design.
Experience with data visualization tools such as Matplotlib, Seaborn, or Tableau.
Strong problem-solving skills and the ability to translate business requirements into analytical solutions.
Excellent communication and collaboration skills, with the ability to effectively convey technical concepts to both technical and non-technical stakeholders.
Familiarity with cloud computing platforms (e.g., AWS, Azure, Google Cloud) and big data technologies (e.g., Hadoop, Spark) is a plus.
Passion for innovation and a keen interest in staying updated with the latest trends and advancements in AI and machine learning."
2,74946043,Data Engineer Lead,KK Group Of Companies,Bandar Tasik Selatan,Information & Communication Technology,Engineering - Software,Full time,"RM 7,000 – RM 8,000 per month","Making large and/or complex data more accessible, understandable and usable
Transforming, improving and integrating data, depending on the business requirements
Delivering the data in a useful and appealing way to users
Work with noisy, dirty, and unstructured data, data cleansing, scraping unstructured data, and converting into structured data
Build and maintain data pipelines, ETL, databases and applications to acquire, store and manage data
Choose, design, test and implement data software and solutions for projects and enterprise
Selecting and integrating any Big Data tools and frameworks required to provide requested capabilities
Monitoring performance and advising necessary infrastructure changes to optimize performance and cost
Architect, develop and implement end-to-end automated data flows for data and analytical needs
Perform data profiling, data quality assessment, data cleansing and data transformation
Recommend appropriate solutions architecture that is highly scalable based on business requirement
Create date tools for data scientists and data visualization team members
Builds the infrastructure required for optimal extraction, transformation, and loading for data from a wide variety of data sources using SQL, noSQL and cloud (AWS / Azure / Google / Alibaba / DigitalOcean) technologies
Benchmark, evaluate and improve the scalability, robustness, efficiency and performance of big data platforms and applications
Engage in the delivery of analytics assignments for business users involving, amongst others; data preparation, data visualization, creating business insights etc
Contribute and facilitate workshops/interviews bridging the gap between data analytics and business outcomes
Provide strategic and tactical advice to business units by translating analytical solutions into out-of-the-box execution recommendations addressing business objectives and impacting bottom line results
Combine your technical expertise with the ability to architect, deploy and oversee integrated analytics/business intelligence/technology solutions
Build case for analytics through need analysis and business case (quantify likely benefits)
Consult with leaders of business teams and manage expectations, meet project and deliverable timelines, ensure accurate and timely completion of deliverables
Collaborate with several other teams and roles across the organization on requirements gathering and solution deployment
Make analytical product, service or process decisions likely to impact multiple groups of employees and/or customers (internal or external)
Manage technology solution portfolios, and identifying new technology approaches to solve business problems with a strong focus on leveraging enterprise data
Contribute to the building and management of the analytics infrastructure
Work with management team on staffing needs, strategic technology trend identification, monitoring project progress and completion, issue resolution and technical solutions related to data, data flow and advising on algorithm deployment
Collaborate with analytics practitioners, business analysts and methodologists to design and oversee the development of working prototypes of technical solutions
Technical support and lead for the Data Engineer team
Work with project teams to assist with data-related technical issues and support their data infrastructure needs
What's your expected monthly basic salary?
How many years' experience do you have as a Data Engineer?
How many years' experience do you have as a Tableau Specialist?
How many years' experience do you have as a Power BI Developer?
Have you completed an Amazon Web Services Developer certification?
Have you completed a Cloudera Certified Professional Data Engineer certification?
How many years' experience do you have as an ETL Data Warehouse Programmer?
How much notice are you required to give your current employer?"
3,74915330,Data Engineer (Python),Inter Island Manpower Pte Ltd,Kuala Lumpur,Information & Communication Technology,Engineering - Software,Full time,"RM 6,000 – RM 7,000 per month","Bachelor's or Master's degree in Computer Science, Engineering, or related fields.
1-3 years as a Data Engineer with expertise in data engineering concepts.
Hands-on experience with Azure or AWS cloud services, Python/Java/Scala, and data processing frameworks.
Strong knowledge of data modeling, database technologies, and problem-solving skills.
Excellent communication, collaboration, and adaptability to fast-paced environments.
Design, develop, and maintain data pipelines for diverse sources into data lake/warehouse.
Collaborate with data scientists for analysis and reporting needs.
Research and evaluate data sources for property development.
Develop web-scraping scripts and automate pipeline deployment.
Utilize Azure, AWS, and relevant tech for data solutions.
Integrate data between systems/platforms, monitor, and optimize pipelines.
Ensure data security, compliance, and quality while staying updated on data tech trends.
How many years' experience do you have as a Data Engineer?
Which of the following programming languages are you experienced in?"
4,74891040,Principal Data Engineer,Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,Petaling,Information & Communication Technology,Database Development & Administration,Full time,$10000.0 - $14000.0 p.m.,"Take ownership of the end-to-end data solution development and operation, including modelling, ETL, scripting, visualisation, testing, deployment, etc.
Drive maturity of data infrastructure and architecture by designing, implementing, and maintaining the ingestion, ETL, storage, consumption, archival and disposal process and structure for product and organisation.
Build data products, including APIs, visualisation tools, analytics and machine learning platforms.
Utilise ETL to provide actionable insights and intelligence, serving both product offerings and internal data consumption for business functions.
Coach and mentor the junior team members to develop and improve both technical and non-technical capabilities.
At least 3 years of experience in a Data Engineering role.
Strong command of SQL, Python, Data Modelling, Data Warehousing, ETL/ELT.
Strong foundation in cloud data services such as AWS Redshift, Azure Synapse, BigQuery, Snowflakes, etc.
A competitive salary based on performance and output.
Excellent career support and leadership training.
Exposure to the growing fintech industry and room to grow at an elevated rate."
5,74923865,Data Analyst,MONKEYCLOUD MEDIA SDN. BHD.,Petaling,Information & Communication Technology,Help Desk & IT Support,Full time,"RM 3,000 – RM 4,500 per month","Collect and compile data from different sources, including databases, and spreadsheets.
Filtering and cleaning data to ensure accuracy.
Analyze data to identify trends, patterns, and anomalies, and provide actionable insights to support in various team decision-making.
Develop and maintain dashboards and reports to track key project performance metrics, including progress and target achievement.
Conduct ad-hoc data analysis to address specific project management questions or issues.
Assist in the preparation of presentations and reports for project status updates and executive-level reporting.
Diploma or Degree in any related field
Experience in data analysis, business analysis or similar role, with a strong focus on data manipulation and analysis is preferred.
Familiarity with data analysis tools and concepts, with experience in Power BI being a strong advantage.
2-3 years working experience as a Business Intelligence Analyst/Data Analyst or any position that related to data and business analytics with strong statistical background.
Preferably with prior experience in the FMCG industry.
Experience in data analysis, business analysis or similar role, with a strong focus on data manipulation and analysis is preferred.
Proficiency in data analysis tools and software, such as Power BI, Microsoft Excel (Pivot, Macro) or similar tools.
Strong organizational skills and the ability to manage multiple tasks and priorities simultaneously.
A collaborative and team-oriented mindset with the ability to work effectively in a cross-functional environment.
Excellent communication and presentation skills, with the ability to convey complex information clearly and effectively.
Strong analytical and problem-solving skills, with the ability to translate data into actionable insights.
Monday to Friday
 : 8.30a.m to 5.30p.m 
How many years' experience do you have as a data analyst?
How many years' experience do you have as a Power BI Consultant?
How would you rate your Mandarin language skills?
Which of the following data analytics tools are you experienced with?
Which of the following Relational Database Management Systems (RDBMS) are you experienced with?"
6,74879920,Data Analyst (Intern),MONT ROYALE COLLEGE,Sri Hartamas,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,RM 600 per month,"Collect, organize, and analyze data from multiple sources to identify trends, patterns, and insights.
Develop and maintain databases and data systems necessary for data analysis and reporting.
Generate regular reports and dashboards to communicate key findings and metrics to stakeholders.
Collaborate with departments to understand their data needs and provide analytical support to inform strategic initiatives.
Conduct thorough data quality assessments and implement solutions to address any discrepancies or issues.
Stay updated on industry trends and best practices in data analysis and visualization techniques.
Bachelor's degree in Computer Science, Statistics, Mathematics, Economics, or related field. (Master's degree preferred)
Proven experience working as a data analyst or in a similar role.
Proficiency in data analysis tools and software such as Excel, SQL, Python, R, or Tableau.
Strong analytical and problem-solving skills with the ability to translate complex data into actionable insights.
Excellent communication and presentation skills, with the ability to effectively convey technical information to non-technical stakeholders.
Detail-oriented with a commitment to accuracy and data integrity.
Ability to work independently and collaboratively in a fast-paced environment.
What's your expected monthly basic salary?"
7,74866336,Manager - Data Engineer,Elken Sdn Bhd,Petaling,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 8,000 – RM 12,000 per month","Provide database operation support including monitoring, performance tuning, backup and restoration, disaster recovery, troubleshooting, replication setup and capacity management.
Responsible for installing, configuration, upgrading and maintaining multiple environments including on premise and cloud databases.
Provide recommendation for future direction of database technology and infrastructure setup.
Deploy database objects and data patches when required by development team.
Assist developers with complex query tuning and best practice suggestion.
Database environment setup for Development, UAT and Production.
Database migration for various platform.
Build automation script for database tasks.
Collaborate with Data Analysts, and other stakeholders to understand data requirements and provide data solutions to meet their needs.
Bachelor’s Degree in Computer Science or equivalent in related field.
At least 3 years working experience in related field.
Possess professional database certifications such as Microsoft Certified, Oracle Certified will be added advantage.
Experience with RDBMS Administration such as MS SQL, My SQL MariaDB, PostgresSQL and Oracle.
Experience with AWS RDS Cloud database environment administration.
Experience with Windows Server and Linux environments.
Experience with Powershell scripting, Linux command line.
Able to converse in 
Mandarin
 as needed to support oversea team like Hong Kong, China and Taiwan.
What's your expected monthly basic salary?
Which of the following Relational Database Management Systems (RDBMS) are you experienced with?"
8,74789886,Junior Data Analyst,Oriental Fortune Trading Malaysia Sdn Bhd,Petaling,Information & Communication Technology,Business/Systems Analysts,Full time,"RM 3,000 – RM 4,300 per month","Data Collection and Cleaning:
 Collect and compile data from various sources, ensuring data accuracy and completeness. Perform data cleaning and transformation as necessary to prepare it for analysis.
Data Analysis:
 Assist in conducting data analysis using statistical methods, data visualization tools, and data analysis software. Summarize findings in clear and concise reports.
Data Visualization:
 Create visually appealing and informative charts, graphs, and dashboards to present data insights to stakeholders. Use tools such as Tableau, Power BI, or Excel for visualization.
Report Generation:
 Prepare regular and ad-hoc reports to communicate key metrics and findings to the team and management. Ensure reports are accurate and delivered on time.
Data Quality Assurance:
 Help maintain data quality standards by identifying and resolving data discrepancies or inconsistencies. Collaborate with other team members to establish data quality protocols.
Collaboration: 
Work closely with cross-functional teams to understand data requirements and deliver actionable insights.
Research and Learning:
 Stay up-to-date with industry trends and best practices in data analysis. Continuously expand your knowledge and skills in data analytics techniques and tools.
Bachelor's degree in a relevant field such as Finance, Data Science, Statistics, Mathematics, Computer Science, or a related discipline.
Candidate with 1-2 years quantitative analysis or finance background are preferred; 
fresh graduates are welcome as well.
Required language(s): 
Fluent in English & Mandarin
 are preferred because the role requires candidates to interact with Mandarin-speaking clients.
Strong analytical skills and a passion for working with data.
Proficiency in data analysis tools and programming languages such as Excel, SQL, Python, or R.
Familiarity with data visualization tools (e.g., Tableau, Power BI) is a plus.
Excellent communication skills, with the ability to translate complex data into understandable insights.
Detail-oriented and capable of maintaining data accuracy and integrity.
Highly organized and able to manage multiple tasks and deadlines effectively.
Team player with a collaborative mindset and the ability to work well in a diverse team environment.
Eagerness to learn and adapt to new tools, techniques, and technologies in the field of data analysis.
Possess own car.
What's your expected monthly basic salary?
How many years' experience do you have as a data analyst?
Which of the following languages are you fluent in?"
9,74703677,Junior Data Analyst,Private Advertiser,Bangsar South,Information & Communication Technology,Business/Systems Analysts,Full time,"RM 3,500 – RM 4,300 per month","Analyze and manage data related to E-sports events, focusing on Key Performance Indicators (KPIs).
Create daily reports highlighting discrepancies or errors identified during the analysis process.
Chart and conduct in-depth analyses of team performance in E-sports events.
Real-time monitoring and analysis of data, including the production of charts and performance evaluations.
Maintain daily event reports with important metrics for overall performance.
Collaborate with team members, ensuring smooth operations and providing support.
Fluency in Mandarin preferred for client interaction.
Strong analytical and critical thinking skills.
Ability to work independently under pressure and manage multiple projects with tight schedules.
Flexibility for shifts and overnight work.
Passion for E-sports is a plus.
Fresh graduates are welcome to apply.
13 months’ Salary
Quarterly and annual bonuses
Monthly meal, shift, and parking allowances
Monthly team gatherings & birthday celebrations
Unlimited snacks & beverages
Team building activities & outings
Medical insurance
14 days of annual leave
Birthday leave
8 hours of work per day
EPF, SOCSO, EIS contributions
Which of the following languages are you fluent in?"
